intervention_id,order_id,merchant_id,intervention_type,action_owner,initiated_by,confidence_score,outcome,executed_at,completed_at
INT00025,ORD030183,M004,merchant_confirmation,merchant,merchant,0.6148,pending,2025-10-02 20:02:27,
INT00026,ORD035705,M097,cod_to_prepaid,merchant,merchant,0.4523,rto,2026-03-13 20:59:33,2026-03-15 06:59:33
INT00027,ORD048694,M002,cod_to_prepaid_outreach,delhivery,system,0.4094,rto,2026-02-14 17:27:33,2026-02-17 02:27:33
INT00028,ORD032999,M113,merchant_confirmation,merchant,merchant,0.5723,rto,2026-02-23 01:29:23,2026-02-26 00:29:23
INT00029,ORD014581,M084,merchant_confirmation,merchant,merchant,0.6689,successful_delivery,2025-11-30 13:46:09,2025-12-01 21:46:09
INT00030,ORD048472,M113,merchant_confirmation,merchant,system,0.8397,successful_delivery,2025-10-25 22:31:41,2025-10-27 16:31:41
INT00031,ORD037776,M103,cod_to_prepaid_outreach,delhivery,system,0.9095,successful_delivery,2025-12-26 14:08:21,2025-12-27 00:08:21
INT00032,ORD038137,M062,verification,delhivery,system,0.9689,successful_delivery,2026-03-08 12:03:34,2026-03-11 04:03:34
INT00033,ORD001454,M060,cod_to_prepaid,merchant,system,0.6792,successful_delivery,2025-10-23 21:26:36,2025-10-25 06:26:36
INT00034,ORD021817,M118,premium_courier,delhivery,system,0.7210,rto,2025-12-24 02:31:58,2025-12-25 12:31:58
INT00035,ORD012563,M068,express_upgrade,delhivery,system,1.0000,rto,2026-03-11 14:57:22,2026-03-11 19:57:22
INT00036,ORD019954,M008,verification,delhivery,system,0.4799,successful_delivery,2026-02-19 18:39:58,2026-02-19 22:39:58
INT00037,ORD036283,M114,verification,delhivery,system,0.6214,successful_delivery,2026-01-27 10:49:16,2026-01-30 06:49:16
INT00038,ORD004969,M104,merchant_confirmation,merchant,system,0.7361,successful_delivery,2026-01-22 02:21:22,2026-01-23 00:21:22
INT00039,ORD025007,M002,cod_to_prepaid,merchant,merchant,0.8858,rto,2026-01-08 18:19:03,2026-01-10 14:19:03
INT00040,ORD044674,M103,cod_to_prepaid,merchant,system,0.7009,successful_delivery,2025-12-23 01:20:28,2025-12-25 16:20:28
INT00041,ORD004987,M109,merchant_confirmation,merchant,system,0.8545,rto,2025-12-04 10:32:46,2025-12-06 20:32:46
INT00042,ORD022461,M110,premium_courier,delhivery,system,0.6130,rto,2025-11-27 00:04:38,2025-11-29 19:04:38
INT00043,ORD030539,M019,merchant_confirmation,merchant,merchant,0.5072,successful_delivery,2026-02-13 20:45:37,2026-02-14 22:45:37
INT00044,ORD049875,M016,address_enrichment_outreach,delhivery,system,0.7828,rto,2025-11-15 06:17:36,2025-11-16 07:17:36
INT00045,ORD014880,M076,cod_to_prepaid_outreach,delhivery,system,0.4119,rto,2026-03-23 20:33:58,2026-03-25 00:33:58
INT00046,ORD008074,M029,merchant_confirmation,merchant,merchant,0.7098,pending,2026-02-23 10:26:27,
INT00047,ORD038816,M044,cod_to_prepaid,merchant,system,0.6018,successful_delivery,2026-02-14 14:21:52,2026-02-14 18:21:52
INT00048,ORD035942,M110,cod_to_prepaid,merchant,merchant,0.8353,successful_delivery,2026-03-05 22:35:36,2026-03-06 04:35:36
INT00049,ORD001408,M038,premium_courier,delhivery,system,0.5516,pending,2025-10-21 10:28:10,
INT00050,ORD041341,M072,cod_to_prepaid,merchant,system,0.6562,successful_delivery,2025-10-18 11:57:05,2025-10-19 09:57:05
INT00051,ORD031355,M090,merchant_confirmation,merchant,system,0.5962,pending,2026-03-22 20:04:27,
INT00052,ORD035026,M073,verification,delhivery,system,0.3837,successful_delivery,2026-03-24 14:14:47,2026-03-26 09:14:47
INT00053,ORD024249,M078,merchant_confirmation,merchant,merchant,0.7301,successful_delivery,2026-03-06 13:33:01,2026-03-08 19:33:01
INT00054,ORD046465,M070,express_upgrade,delhivery,system,0.6618,successful_delivery,2026-02-25 23:40:51,2026-02-27 18:40:51
INT00055,ORD017732,M013,address_enrichment_outreach,delhivery,system,0.8361,pending,2026-01-13 09:29:53,
INT00056,ORD024068,M097,cod_to_prepaid,merchant,merchant,0.8651,pending,2026-02-24 00:37:28,
INT00057,ORD018151,M086,premium_courier,delhivery,system,0.7596,pending,2026-03-27 09:38:46,
INT00058,ORD033953,M094,cod_to_prepaid,merchant,system,0.7677,successful_delivery,2026-02-18 22:25:35,2026-02-21 04:25:35
INT00059,ORD025488,M041,premium_courier,delhivery,system,0.4381,successful_delivery,2025-11-18 14:35:30,2025-11-20 09:35:30
INT00060,ORD010616,M022,verification,delhivery,system,0.8745,pending,2026-02-16 10:52:48,
INT00061,ORD001823,M042,verification,delhivery,system,0.7174,successful_delivery,2025-12-25 23:45:03,2025-12-27 23:45:03
INT00062,ORD027005,M060,verification,delhivery,system,0.6664,successful_delivery,2026-03-23 11:40:03,2026-03-26 01:40:03
INT00063,ORD030038,M065,verification,delhivery,system,0.6657,successful_delivery,2026-03-03 11:56:06,2026-03-06 02:56:06
INT00064,ORD042763,M010,address_enrichment_outreach,delhivery,system,0.6372,successful_delivery,2025-10-01 13:45:01,2025-10-03 23:45:01
INT00065,ORD005598,M118,premium_courier,delhivery,system,0.8559,pending,2025-10-28 23:29:38,
INT00066,ORD014281,M060,cod_to_prepaid,merchant,merchant,0.7726,successful_delivery,2026-03-02 18:56:09,2026-03-04 01:56:09
INT00067,ORD029916,M095,premium_courier,delhivery,system,0.6725,successful_delivery,2025-11-10 10:08:14,2025-11-10 19:08:14
INT00068,ORD019661,M009,premium_courier,delhivery,system,0.6877,successful_delivery,2026-01-19 09:05:17,2026-01-20 14:05:17
INT00069,ORD024759,M098,merchant_confirmation,merchant,merchant,0.8141,successful_delivery,2025-11-14 14:19:49,2025-11-15 15:19:49
INT00070,ORD044265,M015,masked_calling,delhivery,system,0.6498,rto,2025-11-29 21:03:23,2025-12-01 12:03:23
INT00071,ORD010019,M017,premium_courier,delhivery,system,0.8928,rto,2025-12-01 11:12:36,2025-12-04 09:12:36
INT00072,ORD014085,M032,merchant_confirmation,merchant,merchant,0.4777,pending,2026-03-26 16:08:23,
INT00073,ORD021030,M087,cod_to_prepaid,merchant,merchant,0.9101,successful_delivery,2026-02-12 20:37:44,2026-02-13 10:37:44
INT00074,ORD025120,M075,express_upgrade,delhivery,system,0.6709,rto,2026-01-24 18:25:36,2026-01-25 23:25:36
INT00075,ORD034703,M071,cod_to_prepaid,merchant,system,0.5992,successful_delivery,2025-11-13 23:57:17,2025-11-15 11:57:17
INT00076,ORD002862,M112,premium_courier,delhivery,system,0.6219,pending,2025-10-25 21:53:22,
INT00077,ORD041295,M026,premium_courier,delhivery,system,0.6914,successful_delivery,2025-11-05 18:26:28,2025-11-08 07:26:28
INT00078,ORD013966,M005,premium_courier,delhivery,system,0.9768,rto,2025-12-22 21:12:43,2025-12-23 04:12:43
INT00079,ORD028452,M080,merchant_confirmation,merchant,merchant,0.7195,rto,2026-01-01 16:28:23,2026-01-02 23:28:23
INT00080,ORD030471,M079,cod_to_prepaid,merchant,system,0.6245,successful_delivery,2025-11-17 15:27:36,2025-11-18 18:27:36
INT00081,ORD018464,M075,verification,delhivery,system,1.0000,successful_delivery,2025-10-08 20:54:27,2025-10-09 15:54:27
INT00082,ORD008641,M104,cod_to_prepaid_outreach,delhivery,system,0.9119,rto,2026-02-20 16:39:28,2026-02-21 00:39:28
INT00083,ORD012130,M005,merchant_confirmation,merchant,merchant,0.5444,successful_delivery,2026-01-07 10:20:24,2026-01-09 20:20:24
INT00084,ORD030298,M003,verification,delhivery,system,0.8658,successful_delivery,2025-12-27 09:38:09,2025-12-27 12:38:09
INT00085,ORD028376,M115,verification,delhivery,system,0.7121,rto,2025-10-16 08:54:42,2025-10-16 21:54:42
INT00086,ORD030270,M010,verification,delhivery,system,0.4993,successful_delivery,2025-11-27 15:35:29,2025-11-30 05:35:29
INT00087,ORD043407,M080,premium_courier,delhivery,system,0.5641,successful_delivery,2025-12-26 15:19:18,2025-12-27 20:19:18
INT00088,ORD030297,M111,cod_to_prepaid_outreach,delhivery,system,1.0000,pending,2026-01-12 00:55:28,
INT00089,ORD038886,M011,cod_to_prepaid_outreach,delhivery,system,0.9793,successful_delivery,2026-03-13 13:02:54,2026-03-15 01:02:54
INT00090,ORD007311,M007,cod_to_prepaid_outreach,delhivery,system,0.6651,successful_delivery,2025-12-16 17:16:18,2025-12-19 06:16:18
INT00091,ORD042003,M077,premium_courier,delhivery,system,0.6619,rto,2026-01-03 22:16:35,2026-01-06 19:16:35
INT00092,ORD024715,M083,premium_courier,delhivery,system,0.8281,pending,2025-10-25 11:10:56,
INT00093,ORD014426,M095,verification,delhivery,system,0.6670,rto,2025-11-28 13:40:12,2025-11-29 06:40:12
INT00094,ORD039413,M047,cod_to_prepaid,merchant,merchant,0.6722,successful_delivery,2025-10-24 12:41:42,2025-10-25 01:41:42
INT00095,ORD019140,M064,cod_to_prepaid,merchant,system,1.0000,pending,2025-12-24 12:51:50,
INT00096,ORD008644,M011,premium_courier,delhivery,system,0.8293,successful_delivery,2026-02-02 21:08:54,2026-02-03 11:08:54
INT00097,ORD021885,M086,cod_to_prepaid,merchant,merchant,0.8376,successful_delivery,2026-01-30 20:02:33,2026-02-02 12:02:33
INT00098,ORD004393,M119,premium_courier,delhivery,system,0.4749,successful_delivery,2025-10-29 08:51:17,2025-11-01 06:51:17
INT00099,ORD023450,M014,verification,delhivery,system,0.7328,successful_delivery,2025-10-25 12:46:36,2025-10-28 11:46:36
INT00100,ORD021276,M086,premium_courier,delhivery,system,0.7180,successful_delivery,2025-11-28 12:36:53,2025-11-29 20:36:53
INT00101,ORD029901,M045,verification,delhivery,system,0.7859,successful_delivery,2025-12-30 21:26:01,2026-01-01 09:26:01
INT00102,ORD032522,M050,premium_courier,delhivery,system,0.5389,successful_delivery,2025-11-23 20:17:34,2025-11-24 09:17:34
INT00103,ORD036311,M034,cod_to_prepaid,merchant,merchant,0.8673,pending,2026-02-14 12:39:19,
INT00104,ORD039465,M026,masked_calling,delhivery,system,0.8414,pending,2026-02-03 12:49:17,
INT00105,ORD039672,M003,premium_courier,delhivery,system,0.6751,successful_delivery,2026-03-04 04:57:17,2026-03-05 02:57:17
INT00106,ORD020021,M108,masked_calling,delhivery,system,0.9156,successful_delivery,2025-10-17 15:05:08,2025-10-19 02:05:08
INT00107,ORD029108,M022,merchant_confirmation,merchant,merchant,0.6643,pending,2025-10-01 14:08:36,
INT00108,ORD033058,M060,merchant_confirmation,merchant,merchant,0.5974,successful_delivery,2025-12-03 16:29:51,2025-12-04 03:29:51
INT00109,ORD025497,M031,premium_courier,delhivery,system,0.8313,successful_delivery,2026-03-27 10:31:52,2026-03-28 07:31:52
INT00110,ORD022790,M035,merchant_confirmation,merchant,system,0.5627,pending,2025-12-09 15:19:09,
INT00111,ORD009332,M026,merchant_confirmation,merchant,merchant,0.7112,rto,2025-12-28 14:02:06,2025-12-30 17:02:06
INT00112,ORD046578,M001,premium_courier,delhivery,system,0.6966,rto,2026-02-21 05:30:12,2026-02-22 22:30:12
INT00113,ORD029757,M079,masked_calling,delhivery,system,1.0000,successful_delivery,2026-01-18 03:29:22,2026-01-18 05:29:22
INT00114,ORD026611,M019,verification,delhivery,system,0.7415,rto,2025-10-22 10:37:36,2025-10-25 03:37:36
INT00115,ORD024959,M066,merchant_confirmation,merchant,merchant,0.5528,pending,2025-10-15 22:24:57,
INT00116,ORD027984,M010,cod_to_prepaid,merchant,merchant,0.7806,rto,2025-10-10 10:08:41,2025-10-11 04:08:41
INT00117,ORD049705,M082,verification,delhivery,system,0.9054,rto,2025-12-15 18:17:14,2025-12-18 07:17:14
INT00118,ORD043935,M059,merchant_confirmation,merchant,merchant,0.6575,pending,2026-03-03 17:11:50,
INT00119,ORD045671,M047,premium_courier,delhivery,system,0.6033,successful_delivery,2025-10-03 20:48:37,2025-10-03 22:48:37
INT00120,ORD040793,M085,merchant_confirmation,merchant,merchant,0.6585,successful_delivery,2026-02-01 01:07:15,2026-02-02 10:07:15
INT00121,ORD039124,M119,cod_to_prepaid,merchant,merchant,0.7131,successful_delivery,2026-01-09 07:58:50,2026-01-11 20:58:50
INT00122,ORD038392,M006,premium_courier,delhivery,system,0.7147,successful_delivery,2025-11-17 18:56:24,2025-11-17 19:56:24
INT00123,ORD008842,M110,merchant_confirmation,merchant,system,0.6738,rto,2026-01-04 10:17:51,2026-01-07 03:17:51
INT00124,ORD011434,M115,masked_calling,delhivery,system,0.8569,successful_delivery,2025-12-20 22:59:19,2025-12-22 04:59:19
INT00125,ORD034115,M084,cod_to_prepaid,merchant,merchant,0.6724,rto,2025-10-25 04:14:21,2025-10-28 01:14:21
INT00126,ORD028745,M087,premium_courier,delhivery,system,0.8936,rto,2025-12-20 20:37:59,2025-12-21 08:37:59
INT00127,ORD008083,M074,cod_to_prepaid,merchant,merchant,1.0000,pending,2026-02-20 20:44:31,
INT00128,ORD007005,M105,auto_cancel,delhivery,system,0.7667,rto,2025-11-09 10:04:53,2025-11-09 14:04:53
INT00129,ORD009283,M018,merchant_confirmation,merchant,system,0.7637,rto,2025-10-03 12:42:27,2025-10-03 19:42:27
INT00130,ORD043444,M014,merchant_confirmation,merchant,merchant,0.5141,successful_delivery,2026-02-10 09:08:17,2026-02-11 23:08:17
INT00131,ORD038674,M029,verification,delhivery,system,0.5910,successful_delivery,2025-10-21 22:40:54,2025-10-22 20:40:54
INT00132,ORD027336,M110,verification,delhivery,system,0.7839,rto,2025-12-29 18:13:34,2025-12-30 15:13:34
INT00133,ORD015016,M020,verification,delhivery,system,0.9010,pending,2026-01-25 18:13:22,
INT00134,ORD036530,M070,cod_to_prepaid,merchant,system,0.9048,rto,2026-01-03 23:39:44,2026-01-05 06:39:44
INT00135,ORD034243,M112,merchant_confirmation,merchant,system,0.6515,rto,2025-10-15 14:26:19,2025-10-16 15:26:19
INT00136,ORD019407,M110,merchant_confirmation,merchant,merchant,0.7907,rto,2025-12-27 09:36:44,2025-12-28 12:36:44
INT00137,ORD043933,M120,merchant_confirmation,merchant,merchant,0.8454,successful_delivery,2026-02-07 08:03:12,2026-02-08 17:03:12
INT00138,ORD045261,M057,merchant_confirmation,merchant,merchant,0.7483,successful_delivery,2026-03-09 23:21:25,2026-03-10 22:21:25
INT00139,ORD031544,M043,cod_to_prepaid_outreach,delhivery,system,0.6149,successful_delivery,2025-11-06 22:06:29,2025-11-09 07:06:29
INT00140,ORD036052,M024,cod_to_prepaid,merchant,merchant,0.4776,rto,2026-03-15 00:56:25,2026-03-17 00:56:25
INT00141,ORD017971,M115,address_enrichment_outreach,delhivery,system,0.5703,rto,2026-01-11 13:25:50,2026-01-14 01:25:50
INT00142,ORD044138,M007,verification,delhivery,system,0.6230,rto,2025-10-18 17:38:40,2025-10-20 18:38:40
INT00143,ORD032497,M040,cod_to_prepaid,merchant,system,0.6934,pending,2026-03-29 05:36:28,
INT00144,ORD016548,M059,cod_to_prepaid,merchant,system,0.6189,rto,2026-01-08 18:18:57,2026-01-09 16:18:57
INT00145,ORD006363,M114,verification,delhivery,system,0.8173,rto,2026-03-26 15:23:47,2026-03-29 07:23:47
INT00146,ORD030032,M114,verification,delhivery,system,0.8935,pending,2025-10-02 15:34:38,
INT00147,ORD033963,M015,cancellation,delhivery,system,0.7939,rto,2025-11-16 11:07:19,2025-11-17 18:07:19
INT00148,ORD047890,M082,masked_calling,delhivery,system,0.6590,pending,2026-02-03 07:47:01,
INT00149,ORD038592,M007,premium_courier,delhivery,system,0.5660,rto,2025-12-15 22:10:38,2025-12-16 12:10:38
INT00150,ORD028717,M077,merchant_confirmation,merchant,system,0.6492,successful_delivery,2026-03-25 15:06:09,2026-03-26 02:06:09
INT00151,ORD023016,M099,merchant_confirmation,merchant,merchant,0.9194,successful_delivery,2026-01-15 04:19:05,2026-01-15 09:19:05
INT00152,ORD049040,M098,address_enrichment_outreach,delhivery,system,0.6061,successful_delivery,2026-02-22 18:12:29,2026-02-24 03:12:29
INT00153,ORD014399,M107,verification,delhivery,system,0.7041,pending,2026-01-12 15:50:59,
INT00154,ORD019969,M024,merchant_confirmation,merchant,merchant,0.8491,rto,2026-03-08 12:27:58,2026-03-10 00:27:58
INT00155,ORD007858,M087,premium_courier,delhivery,system,0.6643,rto,2026-01-08 23:12:17,2026-01-09 13:12:17
INT00156,ORD038041,M091,premium_courier,delhivery,system,0.6556,rto,2025-10-27 21:48:11,2025-10-30 02:48:11
INT00157,ORD001018,M035,express_upgrade,delhivery,system,0.8654,rto,2025-12-02 11:16:57,2025-12-03 21:16:57
INT00158,ORD026637,M075,merchant_confirmation,merchant,system,0.6816,rto,2025-11-28 21:53:02,2025-12-01 06:53:02
INT00159,ORD009354,M072,masked_calling,delhivery,system,0.8462,pending,2026-02-04 11:02:43,
INT00160,ORD025390,M068,verification,delhivery,system,0.4851,rto,2026-02-27 22:53:39,2026-02-28 17:53:39
INT00161,ORD037394,M114,premium_courier,delhivery,system,0.8687,successful_delivery,2026-02-15 16:38:43,2026-02-16 23:38:43
INT00162,ORD028213,M093,cod_to_prepaid,merchant,merchant,0.7351,successful_delivery,2026-01-06 09:37:42,2026-01-07 14:37:42
INT00163,ORD043252,M058,premium_courier,delhivery,system,0.6138,successful_delivery,2026-01-18 17:44:52,2026-01-19 16:44:52
INT00164,ORD026976,M040,verification,delhivery,system,0.8175,rto,2025-11-06 20:32:02,2025-11-09 03:32:02
INT00165,ORD008793,M104,premium_courier,delhivery,system,0.7850,pending,2026-02-09 09:52:40,
INT00166,ORD029001,M096,merchant_confirmation,merchant,merchant,0.8771,successful_delivery,2026-03-15 21:39:44,2026-03-17 07:39:44
INT00167,ORD021684,M039,verification,delhivery,system,0.7935,rto,2026-03-10 12:13:48,2026-03-12 22:13:48
INT00168,ORD017417,M018,merchant_confirmation,merchant,merchant,0.7644,successful_delivery,2025-12-06 21:42:30,2025-12-07 20:42:30
INT00169,ORD027747,M043,verification,delhivery,system,0.8419,successful_delivery,2026-01-19 00:10:54,2026-01-19 02:10:54
INT00170,ORD009567,M086,cod_to_prepaid,merchant,system,0.5920,rto,2025-10-18 16:21:58,2025-10-21 16:21:58
INT00171,ORD017402,M056,merchant_confirmation,merchant,merchant,0.7205,successful_delivery,2025-11-15 05:53:04,2025-11-15 13:53:04
INT00172,ORD027886,M085,verification,delhivery,system,0.9277,rto,2026-03-07 11:30:33,2026-03-08 10:30:33
INT00173,ORD005748,M111,cancellation,delhivery,system,0.7393,rto,2025-10-20 14:18:27,2025-10-23 11:18:27
INT00174,ORD001697,M001,verification,delhivery,system,0.6791,successful_delivery,2025-10-27 23:27:01,2025-10-29 11:27:01
INT00175,ORD047779,M055,premium_courier,delhivery,system,0.8531,rto,2025-10-02 23:12:18,2025-10-03 21:12:18
INT00176,ORD031580,M037,merchant_confirmation,merchant,merchant,0.9148,rto,2025-12-08 23:03:43,2025-12-10 23:03:43
INT00177,ORD040618,M013,premium_courier,delhivery,system,0.8747,rto,2026-03-14 07:22:23,2026-03-15 12:22:23
INT00178,ORD021682,M034,merchant_confirmation,merchant,system,0.7233,successful_delivery,2025-10-10 21:41:50,2025-10-13 15:41:50
INT00179,ORD036374,M119,merchant_confirmation,merchant,merchant,0.6970,rto,2025-11-04 15:36:02,2025-11-06 22:36:02
INT00180,ORD029005,M101,cod_to_prepaid,merchant,system,0.7651,pending,2026-03-23 12:21:34,
INT00181,ORD039023,M114,merchant_confirmation,merchant,system,0.8559,successful_delivery,2025-12-17 09:53:11,2025-12-17 14:53:11
INT00182,ORD036310,M096,cod_to_prepaid,merchant,merchant,0.5509,successful_delivery,2026-02-03 11:06:06,2026-02-06 09:06:06
INT00183,ORD008808,M006,merchant_confirmation,merchant,merchant,0.3909,successful_delivery,2025-11-24 20:57:11,2025-11-27 12:57:11
INT00184,ORD043870,M003,premium_courier,delhivery,system,0.7982,rto,2025-10-05 09:22:45,2025-10-08 04:22:45
INT00185,ORD019262,M090,merchant_confirmation,merchant,system,0.7302,successful_delivery,2025-12-14 22:37:49,2025-12-17 06:37:49
INT00186,ORD006001,M119,cod_to_prepaid,merchant,system,0.6200,rto,2025-10-05 17:33:35,2025-10-06 16:33:35
INT00187,ORD048268,M092,premium_courier,delhivery,system,0.8618,pending,2025-10-07 10:39:03,
INT00188,ORD001212,M032,merchant_confirmation,merchant,system,0.6681,successful_delivery,2025-10-02 16:43:42,2025-10-03 13:43:42
INT00189,ORD027686,M026,verification,delhivery,system,0.6571,successful_delivery,2026-03-20 17:29:47,2026-03-22 10:29:47
INT00190,ORD047355,M041,premium_courier,delhivery,system,0.7296,rto,2026-02-18 19:49:41,2026-02-19 22:49:41
INT00191,ORD004483,M033,verification,delhivery,system,0.5577,successful_delivery,2026-02-10 19:05:14,2026-02-12 04:05:14
INT00192,ORD002940,M015,cod_to_prepaid_outreach,delhivery,system,0.5966,successful_delivery,2026-03-29 16:29:50,2026-03-31 20:29:50
INT00193,ORD007391,M033,cod_to_prepaid,merchant,system,0.7704,rto,2026-01-15 19:41:24,2026-01-15 22:41:24
INT00194,ORD034989,M108,merchant_confirmation,merchant,merchant,0.8595,rto,2026-02-25 19:47:36,2026-02-26 07:47:36
INT00195,ORD034278,M108,merchant_confirmation,merchant,system,0.7785,rto,2025-12-26 22:12:40,2025-12-29 16:12:40
INT00196,ORD008763,M107,cod_to_prepaid,merchant,merchant,0.6831,pending,2026-01-15 21:19:40,
INT00197,ORD034049,M068,premium_courier,delhivery,system,0.6167,successful_delivery,2025-11-09 20:54:28,2025-11-10 08:54:28
INT00198,ORD034932,M049,express_upgrade,delhivery,system,0.7441,successful_delivery,2026-03-18 11:28:43,2026-03-20 08:28:43
INT00199,ORD042687,M024,verification,delhivery,system,0.4344,pending,2025-12-02 15:44:27,
INT00200,ORD042491,M079,verification,delhivery,system,0.5929,successful_delivery,2025-10-10 17:48:46,2025-10-10 18:48:46
INT00201,ORD023334,M035,merchant_confirmation,merchant,system,0.6101,pending,2026-02-19 23:52:03,
INT00202,ORD025856,M044,verification,delhivery,system,0.6387,successful_delivery,2026-03-04 16:25:51,2026-03-05 13:25:51
INT00203,ORD045057,M051,cod_to_prepaid_outreach,delhivery,system,0.5656,rto,2026-03-13 14:17:23,2026-03-14 17:17:23
INT00204,ORD030289,M039,merchant_confirmation,merchant,system,0.5734,pending,2025-11-14 09:21:33,
INT00205,ORD011228,M010,merchant_confirmation,merchant,merchant,0.6526,pending,2025-10-25 03:35:09,
INT00206,ORD002997,M032,merchant_confirmation,merchant,system,0.8110,pending,2025-10-20 00:17:24,
INT00207,ORD032631,M036,merchant_confirmation,merchant,merchant,0.4782,rto,2026-03-22 06:57:23,2026-03-22 11:57:23
INT00208,ORD017520,M108,merchant_confirmation,merchant,system,0.7356,successful_delivery,2026-01-19 12:10:22,2026-01-19 16:10:22
INT00209,ORD032678,M119,verification,delhivery,system,0.6071,successful_delivery,2025-10-26 10:50:18,2025-10-27 10:50:18
INT00210,ORD038535,M068,premium_courier,delhivery,system,0.4688,successful_delivery,2026-02-09 16:22:47,2026-02-09 18:22:47
INT00211,ORD027897,M092,merchant_confirmation,merchant,system,0.8534,rto,2026-01-29 12:50:36,2026-01-30 16:50:36
INT00212,ORD003725,M043,address_enrichment_outreach,delhivery,system,0.6691,successful_delivery,2025-12-25 21:40:30,2025-12-26 11:40:30
INT00213,ORD048400,M053,verification,delhivery,system,0.9604,successful_delivery,2026-01-20 15:16:24,2026-01-22 08:16:24
INT00214,ORD030190,M026,address_enrichment_outreach,delhivery,system,0.9226,pending,2026-02-27 13:09:54,
INT00215,ORD013518,M013,premium_courier,delhivery,system,0.7991,rto,2025-11-10 13:12:14,2025-11-11 01:12:14
INT00216,ORD005795,M040,cod_to_prepaid,merchant,system,0.9845,rto,2026-01-12 21:32:05,2026-01-15 14:32:05
INT00217,ORD038692,M023,merchant_confirmation,merchant,merchant,0.6460,successful_delivery,2025-12-25 02:07:17,2025-12-25 18:07:17
INT00218,ORD033320,M035,merchant_confirmation,merchant,merchant,0.9255,successful_delivery,2026-01-07 11:28:53,2026-01-07 15:28:53
INT00219,ORD023206,M065,cod_to_prepaid,merchant,system,0.7749,rto,2026-01-15 22:52:22,2026-01-18 05:52:22
INT00220,ORD044422,M058,premium_courier,delhivery,system,0.9758,rto,2026-03-23 22:06:28,2026-03-25 23:06:28
INT00221,ORD018840,M011,merchant_confirmation,merchant,merchant,0.7117,successful_delivery,2026-02-26 15:53:31,2026-02-27 23:53:31
INT00222,ORD016273,M088,premium_courier,delhivery,system,0.7972,successful_delivery,2026-02-27 13:12:10,2026-03-02 03:12:10
INT00223,ORD026593,M078,verification,delhivery,system,0.6254,successful_delivery,2025-10-13 10:05:48,2025-10-14 21:05:48
